iter	MAE
0	10.01828116
1	9.950231999
2	9.867862813
3	9.788027512
4	9.709404863
5	9.609625891
6	9.530791094
7	9.462422597
8	9.394185082
9	9.323855758
10	9.256277988
11	9.20163922
12	9.143731578
13	9.082754537
14	9.018408727
15	8.969937668
16	8.901122045
17	8.834768481
18	8.770916564
19	8.721336867
20	8.638490701
21	8.583473563
22	8.538948488
23	8.500136365
24	8.433217313
25	8.39009183
26	8.341379648
27	8.298398516
28	8.258737126
29	8.221732042
30	8.191646628
31	8.153415344
32	8.115575375
33	8.070900002
34	8.048310157
35	8.015504637
36	7.983206478
37	7.948889462
38	7.895905078
39	7.853712082
40	7.823253295
41	7.762736506
42	7.740890109
43	7.716277517
44	7.693687535
45	7.664392742
46	7.603265102
47	7.575763868
48	7.556172044
49	7.515161532
50	7.462232201
51	7.416612172
52	7.397591708
53	7.355183151
54	7.306399873
55	7.260213697
56	7.237182305
57	7.19446143
58	7.170362013
59	7.131252789
60	7.091687145
61	7.064908135
62	7.029112213
63	6.993818605
64	6.978159665
65	6.945020596
66	6.909200924
67	6.872775748
68	6.860201099
69	6.840267454
70	6.823717244
71	6.801532487
72	6.786330859
73	6.757549298
74	6.730345287
75	6.715183597
76	6.687312481
77	6.656501329
78	6.63733946
79	6.622964748
80	6.607627015
81	6.582027457
82	6.556689191
83	6.536722501
84	6.516978962
85	6.504636363
86	6.490824531
87	6.465678667
88	6.456067615
89	6.440583275
90	6.43088149
91	6.40745292
92	6.395690254
93	6.373874952
94	6.350103718
95	6.328914289
96	6.311690145
97	6.302931514
98	6.289935814
99	6.274217022
100	6.255356759
101	6.237378164
102	6.226217806
103	6.217790218
104	6.208537201
105	6.198591042
106	6.183193406
107	6.172104457
108	6.164106368
109	6.149821278
110	6.13829281
111	6.128899862
112	6.114181787
113	6.10556906
114	6.099111866
115	6.089502398
116	6.080510876
117	6.063185626
118	6.057263741
119	6.042562157
120	6.032153528
121	6.023649356
122	6.010258509
123	5.997767628
124	5.990860849
125	5.980043228
126	5.977173113
127	5.962659124
128	5.952122101
129	5.939427281
130	5.927277458
131	5.920320401
132	5.9080515
133	5.89661973
134	5.88973389
135	5.875971426
136	5.865073986
137	5.859993933
138	5.850993289
139	5.843571564
140	5.838600074
141	5.831465517
142	5.823410868
143	5.817696211
144	5.809295716
145	5.802510481
146	5.796981422
147	5.789214726
148	5.782735721
149	5.778442339
