iter	Passed	Remaining
0	1	215
1	2	220
2	4	222
3	5	214
4	7	215
5	9	219
6	10	219
7	12	217
8	13	214
9	15	212
10	16	212
11	18	211
12	19	209
13	21	207
14	22	204
15	24	203
16	25	202
17	27	201
18	29	200
19	30	198
20	32	197
21	33	195
22	35	195
23	37	195
24	38	193
25	40	191
26	41	189
27	43	187
28	44	185
29	45	183
30	47	182
31	48	180
32	50	179
33	51	177
34	53	175
35	54	173
36	56	171
37	57	169
38	59	168
39	60	166
40	62	164
41	63	163
42	65	161
43	66	160
44	67	158
45	69	156
46	70	155
47	72	153
48	73	152
49	75	150
50	76	149
51	78	147
52	79	145
53	81	144
54	82	142
55	84	141
56	86	141
57	87	139
58	89	137
59	90	136
60	92	134
61	93	133
62	95	131
63	96	129
64	98	128
65	99	126
66	101	125
67	102	124
68	104	122
69	105	120
70	107	119
71	108	117
72	109	116
73	111	114
74	112	112
75	114	111
76	115	109
77	117	108
78	118	106
79	120	105
80	121	103
81	123	102
82	124	100
83	125	98
84	127	97
85	128	95
86	130	94
87	131	92
88	132	91
89	134	89
90	135	87
91	137	86
92	138	84
93	139	83
94	141	81
95	142	80
96	144	78
97	145	77
98	146	75
99	148	74
100	149	72
101	151	71
102	152	69
103	154	68
104	155	66
105	157	65
106	158	63
107	160	62
108	161	60
109	163	59
110	165	57
111	166	56
112	168	55
113	169	53
114	171	52
115	172	50
116	174	49
117	176	47
118	177	46
119	179	44
120	180	43
121	182	41
122	184	40
123	185	38
124	187	37
125	188	35
126	190	34
127	192	33
128	193	31
129	195	30
130	196	28
131	198	27
132	199	25
133	202	24
134	203	22
135	205	21
136	207	19
137	209	18
138	210	16
139	212	15
140	214	13
141	215	12
142	217	10
143	218	9
144	220	7
145	221	6
146	223	4
147	224	3
148	226	1
149	227	0
